Date,Commodity price (¢/m³),Gas cost adjustment (¢/m³),Effective price (¢/m³)
2024-04-01,12.3038,-1.0985,11.2053
2024-01-01,15.4022,3.8484,19.2506
2023-10-01,15.7273,6.6662,22.3935
2023-07-01,14.1409,8.6350,22.7759
2023-04-01,15.6254,6.9704,22.5958
2023-01-01,25.9526,6.4295,32.3821
2022-10-01,32.6349,3.4561,36.0910
2022-07-01,30.3894,0.9857,31.3751
2022-04-01,20.5311,-0.3793,20.1518
2022-01-01,19.5945,-1.5416,18.0529
2021-10-01,16.8392,0.3088,17.1480
2021-07-01,12.8286,0.3986,13.2272
2021-04-01,13.4774,0.2312,13.7086
2021-01-01,13.0590,0.3634,13.4224
2020-10-01,12.3171,0.5395,12.8566
2020-07-01,10.2078,1.9816,12.1894
2020-04-01,10.2078,1.9816,12.1894
2020-01-01,11.7312,1.6728,13.4040
2019-10-01,11.2969,2.0387,13.3356
2019-07-01,12.9301,3.3656,16.2957
2019-04-01,13.4213,3.7024,17.1237
2019-01-01,15.0040,3.0355,18.0395
2018-10-01,13.1878,1.9543,15.1421
2018-04-01,12.3167,1.6160,13.9327
2018-01-01,13.6260,2.2893,15.9153
2017-10-01,13.7312,3.457,17.1859
2017-07-01,16.2902,2.9432,19.2334
2017-04-01,15.8578,1.5856,17.4434
2017-01-01,16.0178,0.7010,16.7188
2016-10-01,11.5706,-0.6779,10.8927
2016-07-01,10.1666,-0.4420,9.7246
2016-04-01,9.6231,-0.4178,9.2053
2016-01-01,10.8007,-1.3161,9.4846
2015-10-01,12.5325,-1.4583,11.0742
2015-07-01,12.4560,-1.2884,11.1676
2015-04-01,12.0265,-0.8900,11.1365
2015-01-01,15.1064,3.8823,18.9887
2014-10-01,15.1033,4.1070,19.2103
2014-07-01,17.9195,4.6667,22.5862
2014-04-01,17.9207,4.4687,22.3894
2014-01-01,12.8596,0.4456,13.3052
2013-10-01,12.4908,-0.1983,12.2925
2013-07-01,14.1545,-2.307,11.8475
2013-04-01,12.3772,-3.5905,8.7867
2013-01-01,12.8825,-2.0978,10.7847
2012-10-01,10.8366,-1.2565,9.5801
2012-07-01,10.0708,-1.2711,8.7997
2012-04-01,9.4749,-1.3253,8.1496
2012-01-01,12.1783,-1.0070,11.1713
2011-10-01,13.7730,-1.0377,12.7353
2011-07-01,14.9284,-1.1577,13.7707
2011-04-01,14.0797,-0.7597,13.3200
2011-01-01,14.3931,-0.9036,13.4895
2010-10-01,15.5280,-2.3403,13.1877
2010-07-01,17.2288,-4.1373,13.0915
2010-04-01,20.8999,-6.2222,14.6777
2010-01-01,19.8379,-8.6440,11.1939
2009-10-01,19.9470,-8.6108,11.3362
2009-07-01,20.5848,-5.2484,15.3364
2009-04-01,23.5286,-1.8283,21.7003
2009-01-01,30.1064,1.2348,31.3412
2008-10-01,33.5079,1.6012,35.1091
2008-07-01,37.8309,-1.066,36.7649
2008-04-01,30.5197,-3.0936,27.4261
2008-01-01,27.1908,-4.4170,22.7738
2007-10-01,29.5223,-4.5888,24.9335
2007-07-01,33.2739,-5.7728,27.5011
2007-04-01,32.9687,-7.0866,25.8821
2007-01-01,31.9047,-7.0737,24.8310
2006-10-01,35.6504,-4.1310,31.5194
2006-07-01,36.0677,-3.6268,32.4409
2006-04-01,36.8782,-1.8696,35.0086
2006-01-01,41.6725,0,41.6725
